名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司
华润中央公园三期(浩翔路508弄),嘉定南翔,浩翔路508弄,70681, 板楼, 318户, 5栋, 商品房/动迁安置房, 2014年 , 3.98至4.3元/平米/月, 华润置地
华润中央公园三期(浩翔路505弄),嘉定南翔,浩翔路505弄,68704, 板楼/塔板结合, 637户, 9栋, 商品房/动迁安置房, 2014年 , 3.98至4元/平米/月, 华润置地
华润中央公园一期(北)(浩翔路99弄)(别墅),嘉定南翔,浩翔路99弄,86394, 板楼, 55户, 55栋, 商品房, 2012年 , 4元/平米/月, 华润置地物业服务有限公司
海伦堡爱ME城市,嘉定南翔,众仁南路79弄,0, 塔楼/板楼, 2709户, 27栋, 商品房/使用权, 2017-2018年 , 3.3元/平米/月, 暂无信息
三湘森林海尚(嘉定),嘉定南翔,宝翔路188弄,63824, 板楼, 1158户, 64栋, 商品房/动迁安置房/使用权, 2013-2016年 , 0.75至3.8元/平米/月, 上海三湘物业管理有限公司
绿茵广场,嘉定南翔,"银翔路935号, 银翔路965号",0, 塔板结合, 887户, 3栋, 商品房/使用权, 2013-2015年 , 2元/平米/月, 暂无信息
金地格林世界格林公馆(酒店式公寓),嘉定南翔,芳林路963号,0, 塔楼, 131户, 1栋, 商品房, 2012年 , 3元/平米/月, 金地物业服务有限公司
华润中央公园二期(陈翔公路1588弄),嘉定南翔,陈翔公路1588弄,66995, 板楼, 954户, 13栋, 商品房/动迁安置房, 2013-2014年 , 4元/平米/月, 华润置地
路劲翡丽湾(别墅),嘉定南翔,雅翔路288弄,0, 板楼, 76户, 76栋, 商品房, 2013年 , 2.4元/平米/月, 香港路劲物业管理有限公司
绿洲古猗新苑(二期),嘉定南翔,德园南路508弄,55240, 板楼, 692户, 15栋, 商品房, 1988-2016年 , 3.5元/平米/月, 上海明达物业管理有限公司
解放街10号,嘉定南翔,解放街10号,0, 板楼, 20户, 1栋, 商品房/使用权, 1979年 , 0.44元/平米/月, 上海翔房物业管理有限公司
民主东街217号,嘉定南翔,民主东街217号,38607, 板楼, 30户, 1栋, 商品房/使用权, 1981-2001年 , 0.8元/平米/月, 上海翔房物业管理有限公司
解放街4号,嘉定南翔,解放街4号,0, 板楼, 20户, 1栋, 商品房, 1977-1978年 , 暂无信息, 暂无信息
民主街7号,嘉定南翔,民主街7号,0, 板楼, 10户, 1栋, 商品房, 1997年 , 0.8元/平米/月, 上海南翔物业管理有限公司
连飞虹湖天地,嘉定南翔,武威路2909弄1号,0, 板楼, 297户, 9栋, 商品房/经济适用房/使用权, 2018年 , 暂无信息, 上海沙田物业管理有限公司
解放街79号,嘉定南翔,解放街79号,44843, 板楼, 30户, 1栋, 商品房, 1984-1985年 , 暂无信息, 暂无信息
民主东街195号,嘉定南翔,民主东街195号,39066, 板楼, 44户, 2栋, 商品房/使用权, 1995年 , 0.8元/平米/月, 上海翔房物业管理有限公司
南翔企业公馆,嘉定南翔,顺达路111弄,0, 未知类型, 9户, 11栋, 商品房/使用权, 暂无信息 , 暂无信息, 暂无信息
生产街3号,嘉定南翔,生产街3号,0, 板楼, 24户, 1栋, 商品房/使用权, 1998年 , 暂无信息, 上海南翔物业有限公司
德华路263号,嘉定南翔,德华路263号,41228, 板楼, 24户, 1栋, 商品房, 1992-1993年 , 0.8元/平米/月, 暂无信息
上海西环中心星信名邸,嘉定南翔,德园路955弄,65040, 板楼, 788户, 12栋, 商品房, 2017-2018年 , 4元/平米/月, 中海物业管理（上海）有限公司
人民街,嘉定南翔,人民街99号,0, 未知类型, 1户, 1栋, 商品房, 1930年 , 暂无信息, 暂无信息
云翔佳苑（惠柏路6弄）,嘉定南翔,惠柏路6弄,0, 板楼/平房, 452户, 7栋, 商品房/已购公房/动迁安置房, 2022-2023年 , 2元/平米/月, 暂无信息
云湖漫城,嘉定南翔,嘉美路与惠亚路交叉口,59351, 板楼, 405户, 15栋, 商品房, 2023年 , 3.7元/平米/月, 暂无信息
翔瑞新苑(北区),嘉定南翔,嘉年路128弄,44557, 板楼, 672户, 8栋, 商品房/动迁安置房/使用权, 2014-2015年 , 1.2元/平米/月, 暂无信息
翔瑞新苑(西区),嘉定南翔,鹤槎路185弄,37113, 板楼, 592户, 8栋, 商品房/动迁安置房, 2014年 , 1.2元/平米/月, 暂无信息
翔瑞新苑(南区),嘉定南翔,嘉年路119弄,43850, 板楼, 672户, 9栋, 商品房/动迁安置房/使用权, 2012-2014年 , 1.05至1.2元/平米/月, 暂无信息
永翔佳苑（东区478弄）,嘉定南翔,金润路478弄1-23号,45373, 板楼, 1416户, 22栋, 商品房/动迁安置房, 2011年 , 1.19元/平米/月, 暂无信息
云翔佳苑南区,嘉定南翔,嘉年路651弄,37308, 板楼, 712户, 8栋, 商品房/动迁安置房/使用权, 2010-2018年 , 1.46至2.5元/平米/月, 暂无信息
城市公馆(栖林路392弄),嘉定南翔,栖林路392弄,50180, 板楼, 168户, 1栋, 商品房, 2008-2009年 , 1.98元/平米/月, 暂无信息
新城公馆(宝翔路191弄),嘉定南翔,宝翔路191弄,0, 塔楼, 286户, 1栋, 商品房/动迁安置房, 2012年 , 4.3元/平米/月, 暂无信息
新城公馆(宝翔路225弄),嘉定南翔,宝翔路225弄,67908, 板楼, 340户, 10栋, 商品房/动迁安置房, 2012年 , 3.5至4.3元/平米/月, 暂无信息
金地格林世界(卢尔公寓风情街),嘉定南翔,芳林路333弄1-72号,53959, 板楼, 270户, 22栋, 商品房/动迁安置房, 2005年 , 2.1元/平米/月, 暂无信息
绿地清猗园(威廉公馆二期),嘉定南翔,德华路80弄,60008, 板楼, 979户, 17栋, 商品房/使用权, 1998-2014年 , 2.78至2.8元/平米/月, 万科物业
绿地清猗园(威廉公馆一期),嘉定南翔,佳通路211弄,57096, 板楼, 194户, 5栋, 商品房/使用权, 2013年 , 2.8元/平米/月, 上海奥林匹克物业管理有限公司
瑞和云庭,嘉定南翔,乐惠路801弄1-18号,31432, 板楼/塔板结合, 1152户, 12栋, 商品房/动迁安置房, 2018年 , 0.9至2元/平米/月, 上海益镇物业管理有限公司
解放街2号,嘉定南翔,解放街2号,39555, 板楼, 24户, 1栋, 商品房/使用权, 1977年 , 暂无信息, 暂无信息
东方伟业,嘉定南翔,银翔路609号,0, 塔楼, 704户, 1栋, 商品房, 2017年 , 暂无信息, 狮城怡安（上海）物业管理有限公司
民主街41号,嘉定南翔,民主街41号,0, 板楼, 76户, 1栋, 商品房/使用权, 1975年 , 暂无信息, 上海绿洲物业管理有限公司
云翔佳苑北区,嘉定南翔,嘉年路750弄,36656, 板楼, 1320户, 16栋, 商品房/动迁安置房/使用权, 2011-2018年 , 1至2.5元/平米/月, 上海宝翔物业
昱翔佳苑,嘉定南翔,德园南路111弄,53807, 板楼, 707户, 10栋, 商品房/动迁安置房, 2014年 , 2.58元/平米/月, 上海海鸿福船物业管理有限公司
民主街103号,嘉定南翔,民主街103号,0, 板楼, 16户, 1栋, 商品房/使用权, 1987年 , 暂无信息, 暂无信息
华谊逸品澜湾（南区）,嘉定南翔,"嘉程东路69弄1-6号, 陈翔公路2400弄1-8号",62296, 板楼, 364户, 11栋, 商品房/使用权, 2013-2019年 , 4至4.6元/平米/月, 上海绿地物业服务有限公司
解放街302号,嘉定南翔,解放街302号,0, 板楼, 20户, 1栋, 商品房/使用权, 1980年 , 0.8元/平米/月, 上海翔房物业管理有限公司
海伦广场,嘉定南翔,崇文路1851弄3号,0, 板楼, 37户, 6栋, 商品房, 2016年 , 8元/平米/月, 暂无信息
民主东街111号,嘉定南翔,民主东街111号,0, 板楼, 39户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
惠平路1518号,嘉定南翔,惠平路1518号,0, 未知类型, 1户, 1栋, 私产, 暂无信息 , 暂无信息, 暂无信息
唐山路957弄,虹口北外滩,唐山路957弄,0, 板楼, 72户, 4栋, 商品房/使用权, 1984年 , 0.6元/平米/月, 上海东湖物业管理有限公司
周家嘴路1052号,虹口北外滩,周家嘴路1052号,0, 板楼, 39户, 1栋, 商品房/使用权, 1981-1983年 , 0.45元/平米/月, 暂无信息
蟠龙街4号,虹口北外滩,蟠龙街4号,0, 未知类型, 1户, 1栋, 商品房, 1948年 , 暂无信息, 暂无信息
吴淞路355弄,虹口北外滩,吴淞路355弄,0, 未知类型, 3户, 3栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
丹徒路233弄,虹口北外滩,丹徒路233弄,0, 板楼, 313户, 12栋, 商品房/使用权, 1975-1980年 , 0.3元/平米/月, 上海宣诚物业管理有限公司
唐山路509弄,虹口北外滩,唐山路509弄,0, 板楼, 102户, 5栋, 商品房/使用权, 1983年 , 0.3元/平米/月, 上海天天物业管理有限公司
惠民路250弄,虹口北外滩,惠民路250弄,68770, 板楼, 155户, 11栋, 商品房/使用权, 1984年 , 暂无信息, 暂无信息
惠民小区,虹口北外滩,"惠民路220弄,惠民路270号",0, 板楼, 58户, 3栋, 商品房/使用权, 1984-1991年 , 0.57元/平米/月, 外滩物业
临潼苑,虹口北外滩,杨树浦路189弄1-29号,120529, 板楼, 62户, 29栋, 商品房/使用权, 2003年 , 1.8元/平米/月, 新外滩物业管理公司
外滩·豪景苑,虹口北外滩,武昌路338号,168556, 板楼, 445户, 3栋, 商品房/使用权, 2011-2022年 , 3.9元/平米/月, 上海高力国际物业服务有限公司
昆明公寓,虹口北外滩,昆明路173号,0, 板楼, 21户, 1栋, 商品房, 1996年 , 0.5元/平米/月, 暂无信息
建爱大厦,虹口北外滩,长阳路8号,68903, 板楼, 103户, 1栋, 商品房, 1998年 , 3.08元/平米/月, 精兰物业
白金湾广场(办公楼),虹口北外滩,"东大名路948号, 公平路99号",0, 板楼, 143户, 3栋, 商品房/经济适用房/使用权, 2008-2010年 , 28元/平米/月, CBRE世邦魏理仕
临潼路55号,虹口北外滩,临潼路55号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
周家嘴路1048号,虹口北外滩,周家嘴路1048号,0, 板楼, 41户, 1栋, 商品房/使用权, 1981-1983年 , 暂无信息, 上海北外滩物业管理有限公司
安国公寓,虹口北外滩,安国路288弄,0, 板楼, 36户, 2栋, 商品房, 1997年 , 暂无信息, 上海亮东物业管理有限公司
周家嘴路850弄,虹口北外滩,"周家嘴路850弄13-71号, 周家嘴路850弄72号",0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
潘龙街26号,虹口北外滩,潘龙街26号,0, 塔板结合, 3户, 1栋, 商品房/使用权, 1936年 , 10元/平米/月, 暂无信息
虹教二村,虹口北外滩,"高阳路392弄, 高阳路388弄",0, 板楼, 49户, 3栋, 商品房/使用权, 1982年 , 暂无信息, 暂无信息
东大名路836号,虹口北外滩,东大名路836号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
塘沽路346号,虹口北外滩,塘沽路346号,0, 未知类型, 2户, 1栋, 商品房/使用权, 暂无信息 , 暂无信息, 暂无信息
霍山路252弄,虹口北外滩,霍山路252弄,0, 板楼, 20户, 2栋, 商品房, 1997年 , 暂无信息, 上海东湖物业管理公司
峨眉路114弄,虹口北外滩,峨眉路114弄,0, 塔板结合, 19户, 2栋, 商品房/使用权, 1996年 , 6元/平米/月, 兰风物业
霍山大楼,虹口北外滩,"霍山路288号,保定路42号",97676, 塔楼, 252户, 2栋, 商品房, 1995-1996年 , 1.2元/平米/月, 上海海鸿福船物业管理有限公司
久耕小区,虹口北外滩,"海宁路5号,海宁路55号,海宁路105号,峨眉路366弄,九龙路515号",83221, 塔楼/板楼, 1516户, 24栋, 商品房/已购公房/售后公房/使用权, 1984-1998年 , 0.8至1.35元/平米/月, 上海复兴城物业管理有限公司
馨虹苑,虹口北外滩,周家嘴路338弄,91865, 板楼/塔板结合, 269户, 3栋, 商品房/使用权, 2003年 , 1.38元/平米/月, 上海真贤物业管理有限公司
兴旺服饰城,虹口北外滩,"七浦路168号,七浦路133号",0, 板楼, 94户, 3栋, 商品房/使用权, 2007年 , 暂无信息, 暂无信息
白金府邸,虹口北外滩,"旅顺路199弄, 西安路119号, 东汉阳路296号",138920, 板楼, 316户, 8栋, 商品房/私产, 2005年 , 2.5至3.8元/平米/月, 绿城物业
阳光前景,虹口北外滩,通州路88弄,107893, 板楼, 418户, 4栋, 商品房/使用权, 2003-2009年 , 1.38至1.98元/平米/月, 上海东方大学城物业管理有限公司
长阳路138弄,虹口北外滩,长阳路138弄,0, 塔楼/板楼, 279户, 14栋, 商品房/使用权, 1936-2009年 , 暂无信息, 暂无信息
和泰玫瑰园,虹口北外滩,东长治路665弄,92809, 板楼, 453户, 14栋, 商品房, 2000-2006年 , 1.5至1.65元/平米/月, 上海润美物业管理有限公司
宇泰公寓,虹口北外滩,东汉阳路338弄,117190, 板楼, 184户, 8栋, 商品房, 2000年 , 1.7元/平米/月, 上海上远物业管理有限公司
森林湾大厦,虹口北外滩,吴淞路469号,0, 板楼, 87户, 3栋, 商品房/已购公房/使用权, 2004年 , 暂无信息, 上海森凌置业发展有限公司
耀江国际广场(公寓),虹口北外滩,峨眉路299弄,135089, 板楼, 345户, 5栋, 商品房/使用权/私产, 2005-2006年 , 2.5至12元/平米/月, 第一太平戴维斯物业顾问(上海)有限公司
兰侨大厦,虹口北外滩,长阳路288号,94704, 塔楼, 132户, 1栋, 商品房, 1998年 , 1元/平米/月, 上海建强物业管理有限公司
前进小区,虹口北外滩,周家嘴路86弄,95810, 板楼, 435户, 22栋, 商品房/使用权, 1989-1994年 , 0.8元/平米/月, 上海远虹物业服务有限公司
安国大楼,虹口北外滩,"安国路76号,安国路56号",68483, 塔楼/板楼, 257户, 2栋, 商品房/售后公房/动迁安置房/使用权, 1937-1990年 , 0.8元/平米/月, 上海海运物业管理公司
三铭小区,虹口北外滩,唐山路577弄,111743, 板楼, 509户, 18栋, 商品房/使用权, 1936-1986年 , 0.8元/平米/月, 上海北外滩物业管理有限公司
鸿旭豪苑,虹口北外滩,昆明路388弄,103436, 板楼, 358户, 2栋, 商品房, 2007年 , 1.95至2元/平米/月, 上海沙田物业管理有限公司
上海国际航运服务中心,虹口北外滩,公平路36号,0, 板楼, 28户, 3栋, 商品房, 2018年 , 12元/平米/月, 暂无信息
唐山路685弄,虹口北外滩,唐山路685弄,0, 未知类型, 4户, 4栋, 商品房/使用权, 暂无信息 , 暂无信息, 暂无信息
丹徒路210弄,虹口北外滩,丹徒路210弄,0, 板楼, 120户, 5栋, 商品房/使用权, 1986年 , 0.5元/平米/月, 上海绿城物业有限公司
大众公寓,虹口北外滩,"东余杭路1158弄1号,东余杭路1188号",83215, 板楼, 267户, 5栋, 商品房/售后公房/使用权, 1995年 , 1.5元/平米/月, 暂无信息
沪工小区,虹口北外滩,惠民路238号,80615, 板楼, 160户, 1栋, 商品房/使用权, 1991年 , 0.4元/平米/月, 上海美华物业
长阳路24弄,虹口北外滩,长阳路24弄,0, 未知类型, 7户, 4栋, 商品房/使用权, 1940年 , 暂无信息, 暂无信息
东余杭路211弄,虹口北外滩,东余杭路211弄2-192号,0, 板楼/平房, 39户, 25栋, 商品房/已购公房/售后公房/使用权, 1971-1981年 , 0.1元/平米/月, 暂无信息
东海小区,虹口北外滩,昆明路80弄,0, 板楼, 109户, 6栋, 商品房, 1985年 , 0.8元/平米/月, 暂无信息
卫新小区,虹口北外滩,东余杭路1107弄,0, 板楼, 90户, 4栋, 商品房/使用权, 1982年 , 0.85元/平米/月, 暂无信息
平凉路85弄,虹口北外滩,平凉路85号,0, 板楼, 25户, 1栋, 商品房/使用权, 1987年 , 暂无信息, 暂无信息
丹徒路401弄,虹口北外滩,丹徒路401弄,0, 平房, 15户, 1栋, 商品房/使用权, 1983年 , 0.95元/平米/月, 暂无信息
恒生半岛国际中心大厦,虹口北外滩,吴淞路205号,0, 板楼, 8户, 2栋, 商品房/使用权, 2001年 , 5元/平米/月, 酒店物业
周家嘴路750弄,虹口北外滩,周家嘴路750弄,0, 板楼, 1户, 1栋, 使用权, 1996年 , 1.5元/平米/月, 上海鹏欣物业服务有限公司
金山路43号,虹口北外滩,金山路43号,0, 板楼, 63户, 1栋, 动迁安置房/使用权/公租房, 暂无信息 , 暂无信息, 暂无信息
泰康路1号,黄浦打浦桥,泰康路1号,70943, 板楼, 8户, 1栋, 商品房/使用权, 1995年 , 暂无信息, 暂无信息
南昌路149弄,黄浦淮海中路,"南昌路149弄, 南昌路147号",0, 塔板结合, 2户, 2栋, 商品房/使用权, 1958年 , 3.5元/平米/月, 暂无信息
绍兴路33-35号,黄浦淮海中路,"绍兴路33号, 绍兴路35号",108778, 板楼, 66户, 2栋, 商品房/使用权, 1979年 , 0.5元/平米/月, 上海永嘉置业管理有限公司
永嘉路15弄,黄浦淮海中路,永嘉路15弄,0, 板楼, 12户, 7栋, 商品房/使用权, 1930-1935年 , 暂无信息, 上海无容大物业管理有限公司
进贤路191号,黄浦淮海中路,进贤路191号,122665, 板楼, 20户, 1栋, 商品房/使用权, 1981年 , 暂无信息, 暂无信息
南昌路183号,黄浦淮海中路,南昌路183号,139889, 板楼, 25户, 1栋, 商品房/使用权, 1971-1981年 , 暂无信息, 上海海鸿福船物业管理有限公司
建国西路180号,黄浦淮海中路,建国西路180号,0, 板楼, 4户, 1栋, 商品房/使用权, 1980年 , 0.5元/平米/月, 暂无信息
南昌花苑,黄浦淮海中路,南昌路81号,0, 板楼, 15户, 2栋, 商品房, 1999-2002年 , 1.8元/平米/月, 中环物业
紫勋雍邸,黄浦淮海中路,巨鹿路153弄1-3号,150867, 板楼, 149户, 3栋, 商品房, 1959-2006年 , 3.8元/平米/月, 新加坡狮城怡安物业管理有限公司
办公楼黄浦区,黄浦淮海中路,",地址详情见栋座",0, 板楼, 827户, 111栋, 商品房/使用权, 1930-2015年 , 3至12元/平米/月, 暂无信息
进贤老公寓,黄浦淮海中路,茂名南路40号,0, 塔板结合, 1户, 1栋, 使用权, 1948年 , 0.8元/平米/月, 黄浦物业
皋兰路23号,黄浦淮海中路,皋兰路23号,0, 平房, 1户, 1栋, 商品房, 暂无信息 , 0.6元/平米/月, 上海衡昌物业有限公司
巨鹿路395弄,黄浦淮海中路,巨鹿路395弄,0, 塔板结合/平房, 9户, 8栋, 商品房/使用权, 1936-1985年 , 0.8元/平米/月, 上海开城物业管理有限公司
巨鹿路393弄,黄浦淮海中路,巨鹿路393弄,0, 平房, 3户, 2栋, 商品房/使用权, 1939-1996年 , 0.8元/平米/月, 暂无信息
绍兴路2-16号,黄浦淮海中路,"绍兴路2号, 绍兴路4号, 绍兴路8号, 绍兴路10号, 绍兴路12号, 绍兴路14号, 绍兴路16号",0, 塔板结合, 21户, 7栋, 商品房/使用权, 1930-1979年 , 0.8元/平米/月, 上海上实物业管理有限公司
瑞金二路58-68号,黄浦淮海中路,"瑞金二路58号, 瑞金二路60号, 瑞金二路64号, 瑞金二路66号, 瑞金二路68号",0, 平房, 10户, 5栋, 商品房/使用权, 暂无信息 , 0.5元/平米/月, 暂无信息
建国西路166号,黄浦淮海中路,建国西路166号,0, 平房, 2户, 1栋, 商品房/使用权, 1940年 , 2元/平米/月, 暂无信息
进贤路238-240(双)号,黄浦淮海中路,"进贤路238-240（双）号, 进贤路238号",0, 板楼, 2户, 1栋, 商品房/使用权, 1947年 , 1元/平米/月, 黄浦物业
瑞金二路111号,黄浦淮海中路,瑞金二路111号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
绍兴路20-30号,黄浦淮海中路,"绍兴路20号, 绍兴路22号, 绍兴路24号, 绍兴路26号, 绍兴路28号, 绍兴路30号",0, 板楼, 20户, 6栋, 商品房/使用权, 1980年 , 0.5元/平米/月, 上海上实物业管理有限公司
长乐路81甲号,黄浦淮海中路,长乐路81甲号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
香山路8号,黄浦淮海中路,香山路8号,0, 未知类型, 2户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
淮海中路464号,黄浦淮海中路,淮海中路464号,0, 板楼, 1户, 1栋, 使用权, 1947年 , 1元/平米/月, 暂无信息
雁荡路69号,黄浦淮海中路,雁荡路69号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
雁荡路71号,黄浦淮海中路,雁荡路71号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
淮海中路603号,黄浦淮海中路,淮海中路603号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
绍兴路38号,黄浦淮海中路,绍兴路38号,0, 塔板结合, 1户, 1栋, 商品房, 1995年 , 4元/平米/月, 北京京路实业公司
思南路26弄,黄浦淮海中路,思南路26弄,156400, 板楼, 96户, 3栋, 商品房/售后公房/使用权, 1981-1982年 , 0.8元/平米/月, 上海永嘉置业管理有限公司
瑞金二路65号,黄浦淮海中路,瑞金二路65号,0, 平房, 3户, 1栋, 已购公房/售后公房/使用权, 1935-1946年 , 0.5元/平米/月, 暂无信息
南昌路178弄,黄浦淮海中路,南昌路178弄1-20号,0, 板楼, 46户, 11栋, 商品房/使用权, 1930-1988年 , 5.2元/平米/月, 无
南昌路149弄,黄浦淮海中路,"南昌路149弄, 南昌路147号",0, 塔板结合, 2户, 2栋, 商品房/使用权, 1958年 , 3.5元/平米/月, 暂无信息
绍兴路33-35号,黄浦淮海中路,"绍兴路33号, 绍兴路35号",108778, 板楼, 66户, 2栋, 商品房/使用权, 1979年 , 0.5元/平米/月, 上海永嘉置业管理有限公司
永嘉路15弄,黄浦淮海中路,永嘉路15弄,0, 板楼, 12户, 7栋, 商品房/使用权, 1930-1935年 , 暂无信息, 上海无容大物业管理有限公司
进贤路191号,黄浦淮海中路,进贤路191号,122665, 板楼, 20户, 1栋, 商品房/使用权, 1981年 , 暂无信息, 暂无信息
南昌路183号,黄浦淮海中路,南昌路183号,139889, 板楼, 25户, 1栋, 商品房/使用权, 1971-1981年 , 暂无信息, 上海海鸿福船物业管理有限公司
建国西路180号,黄浦淮海中路,建国西路180号,0, 板楼, 4户, 1栋, 商品房/使用权, 1980年 , 0.5元/平米/月, 暂无信息
南昌花苑,黄浦淮海中路,南昌路81号,0, 板楼, 15户, 2栋, 商品房, 1999-2002年 , 1.8元/平米/月, 中环物业
紫勋雍邸,黄浦淮海中路,巨鹿路153弄1-3号,150867, 板楼, 149户, 3栋, 商品房, 1959-2006年 , 3.8元/平米/月, 新加坡狮城怡安物业管理有限公司
办公楼黄浦区,黄浦淮海中路,",地址详情见栋座",0, 板楼, 827户, 111栋, 商品房/使用权, 1930-2015年 , 3至12元/平米/月, 暂无信息
进贤老公寓,黄浦淮海中路,茂名南路40号,0, 塔板结合, 1户, 1栋, 使用权, 1948年 , 0.8元/平米/月, 黄浦物业
皋兰路23号,黄浦淮海中路,皋兰路23号,0, 平房, 1户, 1栋, 商品房, 暂无信息 , 0.6元/平米/月, 上海衡昌物业有限公司
巨鹿路395弄,黄浦淮海中路,巨鹿路395弄,0, 塔板结合/平房, 9户, 8栋, 商品房/使用权, 1936-1985年 , 0.8元/平米/月, 上海开城物业管理有限公司
巨鹿路393弄,黄浦淮海中路,巨鹿路393弄,0, 平房, 3户, 2栋, 商品房/使用权, 1939-1996年 , 0.8元/平米/月, 暂无信息
绍兴路2-16号,黄浦淮海中路,"绍兴路2号, 绍兴路4号, 绍兴路8号, 绍兴路10号, 绍兴路12号, 绍兴路14号, 绍兴路16号",0, 塔板结合, 21户, 7栋, 商品房/使用权, 1930-1979年 , 0.8元/平米/月, 上海上实物业管理有限公司
瑞金二路58-68号,黄浦淮海中路,"瑞金二路58号, 瑞金二路60号, 瑞金二路64号, 瑞金二路66号, 瑞金二路68号",0, 平房, 10户, 5栋, 商品房/使用权, 暂无信息 , 0.5元/平米/月, 暂无信息
建国西路166号,黄浦淮海中路,建国西路166号,0, 平房, 2户, 1栋, 商品房/使用权, 1940年 , 2元/平米/月, 暂无信息
进贤路238-240(双)号,黄浦淮海中路,"进贤路238-240（双）号, 进贤路238号",0, 板楼, 2户, 1栋, 商品房/使用权, 1947年 , 1元/平米/月, 黄浦物业
瑞金二路111号,黄浦淮海中路,瑞金二路111号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
绍兴路20-30号,黄浦淮海中路,"绍兴路20号, 绍兴路22号, 绍兴路24号, 绍兴路26号, 绍兴路28号, 绍兴路30号",0, 板楼, 20户, 6栋, 商品房/使用权, 1980年 , 0.5元/平米/月, 上海上实物业管理有限公司
长乐路81甲号,黄浦淮海中路,长乐路81甲号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
香山路8号,黄浦淮海中路,香山路8号,0, 未知类型, 2户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
淮海中路464号,黄浦淮海中路,淮海中路464号,0, 板楼, 1户, 1栋, 使用权, 1947年 , 1元/平米/月, 暂无信息
雁荡路69号,黄浦淮海中路,雁荡路69号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
雁荡路71号,黄浦淮海中路,雁荡路71号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
淮海中路603号,黄浦淮海中路,淮海中路603号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
绍兴路38号,黄浦淮海中路,绍兴路38号,0, 塔板结合, 1户, 1栋, 商品房, 1995年 , 4元/平米/月, 北京京路实业公司
思南路26弄,黄浦淮海中路,思南路26弄,156400, 板楼, 96户, 3栋, 商品房/售后公房/使用权, 1981-1982年 , 0.8元/平米/月, 上海永嘉置业管理有限公司
瑞金二路65号,黄浦淮海中路,瑞金二路65号,0, 平房, 3户, 1栋, 已购公房/售后公房/使用权, 1935-1946年 , 0.5元/平米/月, 暂无信息
南昌路178弄,黄浦淮海中路,南昌路178弄1-20号,0, 板楼, 46户, 11栋, 商品房/使用权, 1930-1988年 , 5.2元/平米/月, 无
瑞金二路31号,黄浦淮海中路,瑞金二路31号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
淮海坊,黄浦淮海中路,"淮海中路927弄1-146号, 淮海中路923号",0, 板楼, 151户, 73栋, 商品房/使用权/廉租房, 1930-2010年 , 0.5元/平米/月, 暂无信息
新鑫大厦,黄浦淮海中路,淮海中路701号,0, 塔板结合, 1户, 1栋, 使用权, 2012年 , 4.5元/平米/月, 暂无信息
绍兴路32号,黄浦淮海中路,绍兴路32号,0, 未知类型, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
南昌路310弄,黄浦淮海中路,南昌路310弄,0, 板楼, 10户, 7栋, 使用权, 1948年 , 暂无信息, 南辉物业
南昌路62号,黄浦淮海中路,南昌路62号,0, 平房, 3户, 1栋, 商品房, 1950年 , 1.6元/平米/月, 暂无信息
瑞金二路33号,黄浦淮海中路,瑞金二路33号,0, 未知类型, 2户, 1栋, 商品房/使用权, 暂无信息 , 暂无信息, 暂无信息
巨鹿路312号,黄浦淮海中路,巨鹿路312号,0, 未知类型, 3户, 1栋, 商品房/使用权, 暂无信息 , 暂无信息, 暂无信息
南昌路284号,黄浦淮海中路,南昌路284号,0, 板楼, 5户, 1栋, 商品房/使用权, 1930年 , 1元/平米/月, 暂无信息
南昌路103号,黄浦淮海中路,南昌路103号,0, 未知类型, 3户, 1栋, 商品房/使用权, 1936年 , 暂无信息, 暂无信息
南昌路66号,黄浦淮海中路,南昌路66号,0, 未知类型, 2户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
